symbol,name,sector,industry,country,region,market_cap,revenue,employees,profit_margin,operating_margin,trailing_pe,data_source
TELIA,Telia Company,,,Sweden,Europe,,,,,,,investpy
AAGG,Aumann,,,Germany,Europe,,,,,,,investpy
EDDS,Editions du Signe,,,France,Europe,,,,,,,investpy
MULTINOK,Multiconsult AS SE,,,Sweden,Europe,,,,,,,investpy
GENOb,Genovis AB,,,Sweden,Europe,,,,,,,investpy
SPOE,Fonciere Volta,,,France,Europe,,,,,,,investpy
JPS,JPMorgan Japan Smaller,,,United Kingdom,Europe,,,,,,,investpy
G1AG,GEA Group AG,,,Austria,Europe,,,,,,,investpy
MOED,Mondadori Editore,,,Italy,Europe,,,,,,,investpy
PLCS,Polarcus,,,Norway,Europe,,,,,,,investpy
ROMR,RomReal,,,Norway,Europe,,,,,,,investpy
GABAT,Gabather,,,Sweden,Europe,,,,,,,investpy
SOFb,Softronic B,,,Sweden,Europe,,,,,,,investpy
TKWY,Takeaway Com,,,Netherlands,Europe,,,,,,,investpy
ARSA,Asiamet Resources,,,United Kingdom,Europe,,,,,,,investpy
WSUG,WashTec AG,,,Germany,Europe,,,,,,,investpy
NUSTAY,Nustay,,,Sweden,Europe,,,,,,,investpy
ALGEN,Genoway,,,France,Europe,,,,,,,investpy
ALNEV,Neovacs,,,France,Europe,,,,,,,investpy
EVKn,Evonik,,,Germany,Europe,,,,,,,investpy
SNH,Senior Housing Properties,,,Germany,Europe,,,,,,,investpy
MASM,Masmovil Ibercom,,,Spain,Europe,,,,,,,investpy
REALFI,Realfiction,,,Sweden,Europe,,,,,,,investpy
SNMP,ShaMaran Petroleum,,,Sweden,Europe,,,,,,,investpy
KAHOOT-ME,Kahoot,,,Norway,Europe,,,,,,,investpy
QCOMUSD,Qualcomm,,,Switzerland,Europe,,,,,,,investpy
COHE,Coheris,,,France,Europe,,,,,,,investpy
AITN,Applied Industrial Technologies,,,Germany,Europe,,,,,,,investpy
UMIDAb,Umida B,,,Sweden,Europe,,,,,,,investpy
GELE,Gel,,,Italy,Europe,,,,,,,investpy
NESN,Nestle,,,Switzerland,Europe,,,,,,,investpy
XXLA,XXL ASA,,,Norway,Europe,,,,,,,investpy
VRLA,Verallia Deutschland,,,France,Europe,,,,,,,investpy
PUMU,PunaMusta Media,,,Finland,Europe,,,,,,,investpy
SCOUT,Scout Gaming,,,Sweden,Europe,,,,,,,investpy
BOUY,Bouygues,,,France,Europe,,,,,,,investpy
ITWB,Italian Wine Brands SpA,,,Italy,Europe,,,,,,,investpy
LPKG,LPKF,,,Germany,Europe,,,,,,,investpy
VNAn,Vonovia,,,Italy,Europe,,,,,,,investpy
TRMDa,Torm A,,,Denmark,Europe,,,,,,,investpy
PHAL,PharmaLundensis,,,Sweden,Europe,,,,,,,investpy
BALCO,Balco Group,,,Sweden,Europe,,,,,,,investpy
NTAS,NASCIT,,,United Kingdom,Europe,,,,,,,investpy
HEIG,Heidelbergcement,,,Switzerland,Europe,,,,,,,investpy
FIIU,Federated Investors B,,,Germany,Europe,,,,,,,investpy
EONGn,E.ON SE,,,Germany,Europe,,,,,,,investpy
KOJAMO,Kojamo,,,Finland,Europe,,,,,,,investpy
MLDYH,Design Your Home Holding AB,,,France,Europe,,,,,,,investpy
SYS1,System1 Group,,,United Kingdom,Europe,,,,,,,investpy
SIGF,CS Communication,,,France,Europe,,,,,,,investpy
TRBG,Tribal,,,United Kingdom,Europe,,,,,,,investpy
OBDUb,Obducat AB,,,Sweden,Europe,,,,,,,investpy
ONTEX,Ontex Group,,,Belgium,Europe,,,,,,,investpy
BRGDNOK,Borregaard,,,Sweden,Europe,,,,,,,investpy
RHMG,Rheinmetall AG,,,Switzerland,Europe,,,,,,,investpy
ARC,Arcontech,,,United Kingdom,Europe,,,,,,,investpy
BDRILL,Borr Drilling,,,Norway,Europe,,,,,,,investpy
ICTA,ICT Group,,,Netherlands,Europe,,,,,,,investpy
CEC1_p,Metro,,,Germany,Europe,,,,,,,investpy
FASTAT,Fastator,,,Sweden,Europe,,,,,,,investpy
ALU10,U10,,,France,Europe,,,,,,,investpy
MERL,Merlin Entertainments PLC,,,United Kingdom,Europe,,,,,,,investpy
RQIH,Randall&Quilter,,,United Kingdom,Europe,,,,,,,investpy
VPBN,VP Bank AG,,,Switzerland,Europe,,,,,,,investpy
DFTKn,DF Deutsche Forfait AG,,,Germany,Europe,,,,,,,investpy
MLGES,Green Energy 4 Seasons,,,France,Europe,,,,,,,investpy
NICKE,Nickel Mountain,,,Sweden,Europe,,,,,,,investpy
C21,21St Century,,,United Kingdom,Europe,,,,,,,investpy
2U3,Alcon,,,Germany,Europe,,,,,,,investpy
MLCIO,Cioa,,,France,Europe,,,,,,,investpy
VILr,Unibios,,,Greece,Europe,,,,,,,investpy
GRBT,Guerbet,,,France,Europe,,,,,,,investpy
NASNOK,Norwegian Air Shuttle,,,Sweden,Europe,,,,,,,investpy
BORDb,F.E. Bording B,,,Denmark,Europe,,,,,,,investpy
G1V,MC Mining,,,Germany,Europe,,,,,,,investpy
INHG,Indus AG,,,Austria,Europe,,,,,,,investpy
ULVR,Unilever,,,United Kingdom,Europe,,,,,,,investpy
TERR,Terreis,,,France,Europe,,,,,,,investpy
LAMMb,Lammhults Design B,,,Sweden,Europe,,,,,,,investpy
BC8G,Bechtle AG,,,Germany,Europe,,,,,,,investpy
TEONE,TargetEveryOne,,,Sweden,Europe,,,,,,,investpy
HANB,Hanesbrands,,,Germany,Europe,,,,,,,investpy
ALMDG,MGI Digital,,,France,Europe,,,,,,,investpy
TAGMb,TagMaster AB,,,Sweden,Europe,,,,,,,investpy
AVV,Aveva,,,United Kingdom,Europe,,,,,,,investpy
RATOa,Ratos A,,,Sweden,Europe,,,,,,,investpy
NBLS,NB Global Floating Rate,,,United Kingdom,Europe,,,,,,,investpy
BIOTEC,Biotec Pharmacon,,,Norway,Europe,,,,,,,investpy
6762,TDK,,,Germany,Europe,,,,,,,investpy
FOODr,Foodlink SA,,,Greece,Europe,,,,,,,investpy
ESUN,Edisun Power Europe AG,,,Switzerland,Europe,,,,,,,investpy
PSRA,CoreCivic,,,Germany,Europe,,,,,,,investpy
INSPL,Insplorion,,,Sweden,Europe,,,,,,,investpy
CIAZ,CIA,,,Italy,Europe,,,,,,,investpy
FRAG,Fraport AG,,,Austria,Europe,,,,,,,investpy
EASYb,EasyFill,,,Sweden,Europe,,,,,,,investpy
AEL,American Equity Inv. Life,,,Germany,Europe,,,,,,,investpy
BAIN,Bains Mer Monaco,,,France,Europe,,,,,,,investpy
FEVG,Fortec,,,Germany,Europe,,,,,,,investpy
SEZI,Senzime,,,Sweden,Europe,,,,,,,investpy
