symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio
PARG,2025-03-21T10:54:35.070224,Switzerland,Europe,Pargesa I,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMSP,2025-03-21T10:54:35.117789,France,Europe,Diagnostic Medical,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMPA,2025-03-21T10:54:35.181787,Portugal,Europe,Impresa,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRAYON,2025-03-21T10:54:35.245303,Norway,Europe,Crayon,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRONI,2025-03-21T10:54:35.277302,United Kingdom,Europe,Ironveld,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITS,2025-03-21T10:54:35.309308,France,Europe,ITS Group,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASCr,2025-03-21T10:54:35.324820,Greece,Europe,AS Company,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLOb,2025-03-21T10:54:35.340822,Switzerland,Europe,Coloplast,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVRY,2025-03-21T10:54:35.355821,Norway,Europe,EVRY,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSTA,2025-03-21T10:54:35.451338,Italy,Europe,Banca Sistema Spa,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWMO,2025-03-21T10:54:35.451338,Ireland,Europe,Great Western Mining,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWCG,2025-03-21T10:54:35.529851,Austria,Europe,Cewe Color,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMD,2025-03-21T10:54:35.545955,Germany,Europe,AMD,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PQ,2025-03-21T10:54:35.609610,Italy,Europe,Piquadro,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2,2025-03-21T10:54:35.625158,Germany,Europe,ICE,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIRN,2025-03-21T10:54:35.655790,Switzerland,Europe,Airopack Tech Group AG,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPER,2025-03-21T10:54:35.671822,France,Europe,La Perla,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBA,2025-03-21T10:54:35.719318,United Kingdom,Europe,BBA Aviation,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUUSD,2025-03-21T10:54:35.799549,Switzerland,Europe,Micron,Unknown,USD,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVDGk,2025-03-21T10:54:35.863062,Germany,Europe,Travel24.Com AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEDAy,2025-03-21T10:54:35.894326,Germany,Europe,Grupo Aeroportuario Sureste ADR,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYFO,2025-03-21T10:54:35.940959,Sweden,Europe,Nyfosa,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLIML,2025-03-21T10:54:35.940959,France,Europe,Imalliance,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHAR,2025-03-21T10:54:36.004741,Netherlands,Europe,Pharming Group,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOFy,2025-03-21T10:54:36.020878,Germany,Europe,Coca Cola Femsa ADR,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEN,2025-03-21T10:54:36.036388,United Kingdom,Europe,Wentworth,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RACE,2025-03-21T10:54:36.132532,Italy,Europe,Ferrari NV,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOLMb,2025-03-21T10:54:36.163394,Sweden,Europe,Holmen,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALI,2025-03-21T10:54:36.240823,Switzerland,Europe,Delta Air Lines,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
