symbol,last_updated,country,region,name,exchange,currency,data_source,industry,sector,market_cap,revenue,profit_margin,operating_margin,return_on_equity,return_on_assets,forward_pe,trailing_pe,price_to_sales,price_to_book,enterprise_value,employees,website,revenue_annual,operating_income,net_income,ebitda,gross_profit,fiscal_year_end,total_assets,total_debt,total_equity,cash,current_assets,current_liabilities,current_ratio,completeness_score
FIEG,2025-03-21T10:55:15.812336,Germany,Europe,Fielmann AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NTGNT,2025-03-21T10:55:15.859786,Denmark,Europe,Neurosearch,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
IRIST,2025-03-21T10:55:15.939985,Sweden,Europe,Irisity,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SFM1,2025-03-21T10:55:15.939985,Germany,Europe,Sundance Resources,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MUVGn,2025-03-21T10:55:15.972030,Switzerland,Europe,Muench. Rueckvers.,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DJUR,2025-03-21T10:55:16.020176,Denmark,Europe,Djurslands Bank,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TEPRF,2025-03-21T10:55:16.051764,France,Europe,Teleperformance,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SESTS,2025-03-21T10:55:16.099832,United Kingdom,Europe,Securities Scotland,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SPGP,2025-03-21T10:55:16.115855,Denmark,Europe,SP Group,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CRNT,2025-03-21T10:55:16.178106,Germany,Europe,Ceragon,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HMSN,2025-03-21T10:55:16.272770,Sweden,Europe,HMS Networks,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
BELE,2025-03-21T10:55:16.288821,Sweden,Europe,Beijer Electronics,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
GOEG,2025-03-21T10:55:16.304506,France,Europe,Groupe Gorge,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RDSb,2025-03-21T10:55:16.319744,Netherlands,Europe,Royal Dutch Shell B,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
7DIG,2025-03-21T10:55:16.319744,United Kingdom,Europe,7Digital Group,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NDAFI,2025-03-21T10:55:16.474584,Finland,Europe,Nordea Bank,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
LTD,2025-03-21T10:55:16.474584,Germany,Europe,L Brands,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
VAF,2025-03-21T10:55:16.490597,Portugal,Europe,VAA Vista Alegre,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
GSUSD,2025-03-21T10:55:16.553656,Switzerland,Europe,Goldman Sachs,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
TFI,2025-03-21T10:55:16.569689,Italy,Europe,Trevi Fin Industriale,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
IMPN,2025-03-21T10:55:16.585729,Switzerland,Europe,Implenia,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
MYFC,2025-03-21T10:55:16.585729,Sweden,Europe,myFC AB,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
CRSL,2025-03-21T10:55:16.617771,United Kingdom,Europe,Crystal Amber,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
PLP,2025-03-21T10:55:16.791813,United Kingdom,Europe,Polypipe Group,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
RBASE,2025-03-21T10:55:16.807832,Sweden,Europe,Raybased,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EXSY,2025-03-21T10:55:16.823385,Italy,Europe,Expert System,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
QY1,2025-03-21T10:55:16.823385,Germany,Europe,Nextgen Healthcare,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SW1,2025-03-21T10:55:16.885619,Germany,Europe,SHW AG,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
NAVA,2025-03-21T10:55:16.900910,Norway,Europe,Navamedic,Unknown,NOK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EIG,2025-03-21T10:55:16.900910,Germany,Europe,Employers,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ANA,2025-03-21T10:55:16.996187,Spain,Europe,Acciona,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DANSKE,2025-03-21T10:55:17.106064,Denmark,Europe,Danske Bank,Unknown,DKK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
SASY,2025-03-21T10:55:17.151689,Switzerland,Europe,Sanofi,Unknown,CHF,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
FDA,2025-03-21T10:55:17.167756,Italy,Europe,Fidia,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
JDE,2025-03-21T10:55:17.182981,Austria,Europe,Jd.Com Inc Adr,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
STEN,2025-03-21T10:55:17.214360,France,Europe,Stentys,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EVERYa,2025-03-21T10:55:17.260776,Sweden,Europe,Everysport Media,Unknown,SEK,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
AOO,2025-03-21T10:55:17.260776,Belgium,Europe,Aedifica,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
8SO,2025-03-21T10:55:17.370385,Germany,Europe,Sonos,Unknown,EUR,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
DRX,2025-03-21T10:55:17.433395,United Kingdom,Europe,Drax Group,Unknown,GBP,investpy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
