symbol,name,country,exchange,currency,data_source
ACCS,Accsys,United Kingdom,Unknown,GBP,investpy
MPE,M.P.Evans,United Kingdom,Unknown,GBP,investpy
GOAL,Goals,United Kingdom,Unknown,GBP,investpy
HEAD,Headlam,United Kingdom,Unknown,GBP,investpy
LMS,LMS Capital,United Kingdom,Unknown,GBP,investpy
PDG,Pendragon,United Kingdom,Unknown,GBP,investpy
0JYA,Marathon Petroleum,United Kingdom,Unknown,USD,investpy
0Y7S,Johnson Controls,United Kingdom,Unknown,USD,investpy
RDSb,Royal Dutch Shell B,United Kingdom,Unknown,GBP,investpy
RYA,Ryanair,United Kingdom,Unknown,EUR,investpy
UKCM,UK Commercial Property,United Kingdom,Unknown,GBP,investpy
MARS,Marston’s,United Kingdom,Unknown,GBP,investpy
DOM,Domino’s Pizza,United Kingdom,Unknown,GBP,investpy
888,888 Holdings,United Kingdom,Unknown,GBP,investpy
INTUP,Intu Properties,United Kingdom,Unknown,GBP,investpy
FRES,Fresnillo,United Kingdom,Unknown,GBP,investpy
GAZPq,Gazprom,United Kingdom,Unknown,GBP,investpy
EXPN,Experian,United Kingdom,Unknown,GBP,investpy
RKH,Rockhopper,United Kingdom,Unknown,GBP,investpy
PTEC,Playtech,United Kingdom,Unknown,GBP,investpy
BKGH,Berkeley,United Kingdom,Unknown,GBP,investpy
HWDN,Howden Joinery,United Kingdom,Unknown,GBP,investpy
ENQ,Enquest,United Kingdom,Unknown,GBP,investpy
ACAA,Acacia Mining,United Kingdom,Unknown,GBP,investpy
INFAT,Infrastrata,United Kingdom,Unknown,GBP,investpy
PARA,Paragon Banking Group,United Kingdom,Unknown,GBP,investpy
MRS,MRS PLC,United Kingdom,Unknown,GBP,investpy
OCDO,Ocado,United Kingdom,Unknown,GBP,investpy
BPCB,Bahamas Petroleum,United Kingdom,Unknown,GBP,investpy
BSTH,Borders&Southern,United Kingdom,Unknown,GBP,investpy
GLEN,Glencore,United Kingdom,Unknown,GBP,investpy
ICAG,IAG,United Kingdom,Unknown,GBP,investpy
BOCH,Bank of Cyprus,United Kingdom,Unknown,GBP,investpy
ABCA,Abcam,United Kingdom,Unknown,GBP,investpy
AVN,Avanti,United Kingdom,Unknown,GBP,investpy
HTCF,Highbridge Fund,United Kingdom,Unknown,GBP,investpy
BAG,A.G Barr,United Kingdom,Unknown,GBP,investpy
BEG,Begbies Traynor,United Kingdom,Unknown,GBP,investpy
BHGG,BH Global,United Kingdom,Unknown,GBP,investpy
BHGGu,BH Global USD,United Kingdom,Unknown,USD,investpy
BHMG,BH Macro,United Kingdom,Unknown,GBP,investpy
BHMGu,BH Macro USD,United Kingdom,Unknown,USD,investpy
BRW,Brewin Dolphin,United Kingdom,Unknown,GBP,investpy
BRWM,Blackrock World Mining,United Kingdom,Unknown,GBP,investpy
CAPCC,Capital&Counties,United Kingdom,Unknown,GBP,investpy
CEY,Centamin,United Kingdom,Unknown,GBP,investpy
CIC,Conygar Investment,United Kingdom,Unknown,GBP,investpy
CPPG,CPP Group,United Kingdom,Unknown,GBP,investpy
DC,Dixons Carphone,United Kingdom,Unknown,GBP,investpy
CWK,Cranswick,United Kingdom,Unknown,GBP,investpy
DJAN,Daejan,United Kingdom,Unknown,GBP,investpy
DNLM,Dunelm,United Kingdom,Unknown,GBP,investpy
EFM,Edinburgh Dragon,United Kingdom,Unknown,GBP,investpy
ELM,Elementis,United Kingdom,Unknown,GBP,investpy
EXIL,Exillon,United Kingdom,Unknown,GBP,investpy
BCPT,BMO Commercial,United Kingdom,Unknown,GBP,investpy
FCSS,Fidelity China,United Kingdom,Unknown,GBP,investpy
0P6E,First Quantum Minerals,United Kingdom,Unknown,EUR,investpy
FSV,Fidelity Special,United Kingdom,Unknown,GBP,investpy
GSS,Genesis Emerg Mkts,United Kingdom,Unknown,GBP,investpy
GKP,Gulf Keystone,United Kingdom,Unknown,GBP,investpy
HICL,HICL Infrastructure,United Kingdom,Unknown,GBP,investpy
HRI,Herald,United Kingdom,Unknown,GBP,investpy
HTGR,H&T Group,United Kingdom,Unknown,GBP,investpy
IDH,Immunodiagnostic Systems,United Kingdom,Unknown,GBP,investpy
IEM,Impax Environmental,United Kingdom,Unknown,GBP,investpy
INPP,Intl Public Partnership,United Kingdom,Unknown,GBP,investpy
JAI,JPMorgan Asian,United Kingdom,Unknown,GBP,investpy
JAM,JPMorgan American,United Kingdom,Unknown,GBP,investpy
JD,JD Sports Fashion,United Kingdom,Unknown,GBP,investpy
JESC,JPMorgan Euro Small,United Kingdom,Unknown,GBP,investpy
JUP,Jupiter FM,United Kingdom,Unknown,GBP,investpy
LAM,Lamprell,United Kingdom,Unknown,GBP,investpy
LRE,Lancashire,United Kingdom,Unknown,GBP,investpy
LMPL,Londonmetric Property,United Kingdom,Unknown,GBP,investpy
LWDB,Law Debenture,United Kingdom,Unknown,GBP,investpy
MRCM,Mercantile Investment Trust,United Kingdom,Unknown,GBP,investpy
MTC,Mothercare,United Kingdom,Unknown,GBP,investpy
NICL,Nichols,United Kingdom,Unknown,GBP,investpy
PCT,Polar Capital,United Kingdom,Unknown,GBP,investpy
PHNX,Phoenix,United Kingdom,Unknown,GBP,investpy
RPC,RPC Group,United Kingdom,Unknown,GBP,investpy
RWS,RWS Hldgs,United Kingdom,Unknown,GBP,investpy
SDL,SDL,United Kingdom,Unknown,GBP,investpy
SDP,Schroder Asia Pacific,United Kingdom,Unknown,GBP,investpy
SDRY,Superdry,United Kingdom,Unknown,GBP,investpy
SLN,Silence Therapeutics,United Kingdom,Unknown,GBP,investpy
STOB,Stobart,United Kingdom,Unknown,GBP,investpy
TALK,Talk Talk,United Kingdom,Unknown,GBP,investpy
VOG,Victoria Oil,United Kingdom,Unknown,GBP,investpy
PERE,Pembridge Resources,United Kingdom,Unknown,GBP,investpy
YNGt,Young & Co’s Brewery,United Kingdom,Unknown,GBP,investpy
AMER,Amerisur,United Kingdom,Unknown,GBP,investpy
A7L,Amur Minerals,United Kingdom,Unknown,GBP,investpy
BZT,Bezant,United Kingdom,Unknown,GBP,investpy
BRSC,Blackrock Smaller,United Kingdom,Unknown,GBP,investpy
CADP,Cadogan,United Kingdom,Unknown,GBP,investpy
CHARC,Chariot,United Kingdom,Unknown,GBP,investpy
DVO,Devro,United Kingdom,Unknown,GBP,investpy
HSL,Henderson Smaller,United Kingdom,Unknown,GBP,investpy
IQE,IQE,United Kingdom,Unknown,GBP,investpy
JMI,JPMorgan Smaller,United Kingdom,Unknown,GBP,investpy
JRS,JPMorgan Russian,United Kingdom,Unknown,GBP,investpy
MTU,MUSCIT,United Kingdom,Unknown,GBP,investpy
MUL,Mulberry,United Kingdom,Unknown,GBP,investpy
PDL,Petra Diamonds,United Kingdom,Unknown,GBP,investpy
SCP,Schroder UK Mid Cap,United Kingdom,Unknown,GBP,investpy
SNR,Senior,United Kingdom,Unknown,GBP,investpy
SXX,Sirius Minerals,United Kingdom,Unknown,GBP,investpy
SKG,Smurfit Kappa,United Kingdom,Unknown,GBP,investpy
SLS,Standard Life UK Smaller,United Kingdom,Unknown,GBP,investpy
TEP,Telecom Plus,United Kingdom,Unknown,GBP,investpy
VEC,Vectura,United Kingdom,Unknown,GBP,investpy
DUPD,Dragon-Ukrainian,United Kingdom,Unknown,GBP,investpy
HAOG,Hardy Oil,United Kingdom,Unknown,GBP,investpy
IPEL,Impellam,United Kingdom,Unknown,GBP,investpy
LOOK,Lookers,United Kingdom,Unknown,GBP,investpy
PAFR,Pan African Resources,United Kingdom,Unknown,GBP,investpy
POLO,Polo Resources,United Kingdom,Unknown,GBP,investpy
SLEN,San Leon Energy,United Kingdom,Unknown,GBP,investpy
THRG,Throgmorton,United Kingdom,Unknown,GBP,investpy
TRBG,Tribal,United Kingdom,Unknown,GBP,investpy
SYNTS,Synthomer,United Kingdom,Unknown,GBP,investpy
NANON,Nanoco,United Kingdom,Unknown,GBP,investpy
EVRE,Evraz,United Kingdom,Unknown,GBP,investpy
POLYP,Polymetal,United Kingdom,Unknown,GBP,investpy
0QYF,Comcast,United Kingdom,Unknown,USD,investpy
0JSJ,LKQ,United Kingdom,Unknown,USD,investpy
0RPW,Janus Henderson,United Kingdom,Unknown,USD,investpy
CABC,Cabot Energy,United Kingdom,Unknown,GBP,investpy
0GQY,MTG A,United Kingdom,Unknown,SEK,investpy
